"Source:","C:\Program Files\KiCad\share\kicad\Brewnode\Brewnode_PCB\Brewnode_PCB.sch"
"Date:","2020-09-16 23:47:58"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","79"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Mfc"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","C1525","CL05B104KO5NNNC"
"","","C2","47uF","Device:CP","Capacitor_SMD:CP_Elec_6.3x5.3","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEZ470M1CTR-0605_C249778.pdf","C249778","	VEZ470M1CTR-0605"
"","","C3","220uF","Device:CP","","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VUA221M1ATR-0810_C249801.pdf","C249801","VUA221M1ATR-0810"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","C1525","CL05B104KO5NNNC"
"","","C5","47uF","Device:CP","","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEZ470M1CTR-0605_C249778.pdf","C249778","	VEZ470M1CTR-0605"
"","","C6","47uF","Device:CP","","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEZ470M1CTR-0605_C249778.pdf","C249778","	VEZ470M1CTR-0605"
"","","D1","LED_1206","Device:LED","","https://datasheet.lcsc.com/szlcsc/1810231512_Lite-On-LTST-C150KGKT_C125085.pdf","C125085","LTST-C150KGKT"
"","","D2","LED_1206","Device:LED","","https://datasheet.lcsc.com/szlcsc/1810231512_Lite-On-LTST-C150KGKT_C125085.pdf","C125085","LTST-C150KGKT"
"","","D3","SMA","Device:D","","https://datasheet.lcsc.com/szlcsc/1810311713_MDD-Microdiode-Electronics-M7_C95872.pdf","C95872","M7"
"","","D4","SMA","Device:D","","https://datasheet.lcsc.com/szlcsc/1810311713_MDD-Microdiode-Electronics-M7_C95872.pdf","C95872","M7"
"","","D5","SMA","Device:D","","https://datasheet.lcsc.com/szlcsc/1810311713_MDD-Microdiode-Electronics-M7_C95872.pdf","C95872","M7"
"","","D6","SMA","Device:D","","https://datasheet.lcsc.com/szlcsc/1810311713_MDD-Microdiode-Electronics-M7_C95872.pdf","C95872","M7"
"","","F1","500mA","Device:Polyfuse_Small","","https://datasheet.lcsc.com/szlcsc/1808141123_Littelfuse-0435-500KRHF_C206945.pdf","C206945","0435.500KRHF"
